columns,expr_1,expr_2,expr_3,expr_4,expr_5,expr_6,expr_7,expr_8,expr_9,expr_10
Att1,0.0012085133514417965,0.002437216174912667,0.002298435214427625,3.838396654514199e-05,0.001918360370709616,0.00012560403341743651,0.0007035529495369519,0.0010072552545128328,0.0012151756205229813,0.0021875156004052846
Att2,0.002449767673024987,0.004472134786293231,0.001289421776009991,0.003131249862009557,0.004942267647515234,0.003465033998437739,0.0038583503975282906,0.00322254929021513,0.002383694077996446,0.0036416641752901424
Att3,0.0036627754263377096,0.004251530491359783,0.0037822500500481865,0.004212357766838484,0.0056960326632952965,0.007655272830843838,0.003255874787378653,0.003195995339016721,0.003161342313037416,0.002639766215699608
Att4,0.0002768681021065556,0.00023322303051751724,0.001090943376449659,0.0004630272564966772,0.0018121500769109067,0.00017946412046163028,0.0014268618798922866,0.0014518374747834605,0.0005492750379764889,0.0004023950505282647
Att5,0.001641013472274475,0.004441810658922857,0.0030217099722466,0.003465569653882659,0.0036968029944444906,0.0015885965009336072,0.00284280971970435,0.0026755235979164065,0.002211316985738044,0.004475122380126005
Att6,0.0022115980454708987,0.0018182739740518136,0.0003822048064112037,0.0016382311445933035,0.0021937750106591995,0.0003187150072128844,0.001247776390125641,0.0029903832195761607,0.0024950453790045287,0.0028550379166668877
Att7,0.0010912863660386607,0.0019293700299410786,0.001785223848344749,0.0021949375912234145,0.0017930833588902374,0.001407729635383435,0.002613406325203475,0.003549699801490438,0.0010682603866276248,0.0027800414166450982
Att8,-0.00023735691524619059,0.0014901493869183436,0.00026878114760807664,0.0005859200268036027,0.000391038591595764,0.0010095493187379377,0.00015314107674220314,-0.0008471652661361486,0.0012085711886024775,0.0004495626613667693
Att9,0.0025957107644285445,0.002482731600835321,0.001198087941502651,0.0010480142512793486,2.2946481148792052e-07,0.001984804751516295,0.002050889020212859,0.0017875412507059978,0.0011843652177597824,0.002877246005677562
Att10,0.000997152875348234,0.0020980923735850485,0.0014181208278901925,0.0024601066335724685,0.003128203699365097,0.0008330521292341862,0.002563033727449821,0.0010198556413913867,0.0009307179598169043,0.0030265145040232577
Att11,0.001490261578113686,0.002896363392981821,0.0011341229543186356,0.0016583198917754474,0.0016657805384645015,0.0020367720783321663,0.0011888557660993488,0.0010300558006396687,0.0014858178332905194,0.0016274851212673917
Att12,0.000189783235678886,0.0020648230895957127,0.002663825971911399,0.0001025283226832534,0.0007124607066990256,0.00031618883518019786,0.0015748775540316536,0.0006902765263034612,0.001831289331149545,0.004004561332963126
Att13,0.0005870777419578825,0.0009422109123611707,0.0003767035935175609,0.0016675972003997136,0.00045199237006816173,-8.126052808762978e-05,0.0018800466826482442,0.0003738277414052491,0.0002756592099213897,0.0003770140303616236
Att14,0.0005587502729747537,0.0025314514600646154,0.002966625989497228,0.0040698689571593005,0.003379329157284159,0.002975834476255019,0.0044872456313012074,0.0023732018208074018,0.003712855647914876,0.0031719099436070134
